Id,Media Fitness,Media peso,Maior Fitness,Maior Fitness - Peso
0,19.54,11.71,35.7,12.899999999999999
11,22.87,13.07,37.800000000000004,14.1
22,21.76,11.21,39.3,14.1
33,21.2,10.95,40.60000000000001,14.5
44,24.37,11.37,40.6,14.6
55,27.96,12.64,42.5,14.7
66,25.04,11.46,42.5,14.7
77,26.88,11.02,40.400000000000006,13.5
88,26.05,11.72,42.5,14.7
99,27.31,11.68,42.5,14.7
