Id,Media Fitness,Media peso,Maior Fitness,Maior Fitness - Peso
0,19.74,12.0,40.6,14.6
11,23.25,11.59,40.6,14.6
22,22.17,10.68,37.400000000000006,13.899999999999999
33,27.52,11.91,37.800000000000004,14.1
44,28.42,12.35,37.800000000000004,14.1
55,26.21,12.01,37.400000000000006,13.899999999999999
66,29.8,12.24,37.800000000000004,14.1
77,30.7,12.19,40.400000000000006,13.5
88,34.13,13.0,42.5,14.7
99,32.8,12.94,42.5,14.7
